hour_time,wd_BKL,ws_BKL,wd_CGF,ws_CGF
2024-01-20 02,310,9.774436,320,5.6588840000000005
2024-01-20 03,310,10.28888,320,5.6588840000000005
2024-01-20 04,300,8.745548,310,5.6588840000000005
2024-01-20 05,310,8.745548,290,5.6588840000000005
2024-01-20 06,300,10.28888,300,6.173328
2024-01-20 07,290,9.259992,300,5.14444
2024-01-20 08,310,9.774436,310,5.6588840000000005
2024-01-20 09,290,10.803324,290,5.6588840000000005
2024-01-20 10,280,9.259992,280,6.173328
2024-01-20 11,280,7.71666,300,5.6588840000000005
2024-01-20 12,280,8.231104,290,6.173328
2024-01-20 13,270,9.259992,290,4.115552
2024-01-20 14,280,8.231104,290,6.173328
2024-01-20 15,280,10.28888,280,7.202216
2024-01-20 16,280,10.28888,290,6.687772
2024-01-20 17,270,12.346656,280,9.259992
2024-01-20 18,300,11.832212,280,9.259992
2024-01-20 19,280,10.28888,300,6.687772
2024-01-20 20,300,10.28888,290,7.71666
2024-01-20 21,280,10.803324,290,6.173328
2024-01-20 22,290,11.832212,300,6.687772
2024-01-20 23,290,10.28888,310,5.14444
2024-01-21 00,290,9.774436,300,5.6588840000000005
2024-01-21 01,310,8.745548,320,6.687772
2024-01-21 02,300,8.745548,310,6.687772
2024-01-21 03,300,8.745548,320,5.14444
2024-01-21 04,300,8.231104,290,5.14444
2024-01-21 05,300,8.231104,300,4.629996
2024-01-21 06,300,9.259992,310,4.629996
2024-01-21 07,300,8.231104,310,5.14444
2024-01-21 08,300,7.202216,310,3.601108
2024-01-21 09,310,7.202216,310,4.629996
2024-01-21 10,300,9.259992,300,6.173328
2024-01-21 11,290,8.231104,320,6.173328
2024-01-21 12,300,6.687772,300,5.14444
2024-01-21 13,270,6.173328,290,5.6588840000000005
2024-01-21 14,220,5.6588840000000005,280,5.6588840000000005
2024-01-21 15,220,4.629996,250,6.173328
2024-01-21 16,250,4.115552,250,6.173328
2024-01-21 17,260,5.14444,250,4.629996
2024-01-21 18,260,5.14444,270,4.629996
2024-01-21 19,250,4.629996,280,4.629996
2024-01-21 20,210,2.057776,250,3.086664
2024-01-21 21,210,4.115552,230,3.601108
2024-01-21 22,200,4.115552,240,4.115552
2024-01-21 23,190,3.086664,220,2.057776
2024-01-22 00,190,3.601108,200,2.57222
2024-01-22 01,180,3.086664,190,2.57222
2024-01-22 02,160,2.57222,180,2.57222
2024-01-22 03,160,2.57222,190,3.601108
2024-01-22 04,160,3.601108,170,2.57222
2024-01-22 05,160,3.601108,150,2.057776
2024-01-22 06,160,3.601108,150,2.57222
2024-01-22 07,160,3.086664,160,3.086664
2024-01-22 09,170,3.086664,180,2.57222
2024-01-22 10,170,3.086664,190,4.629996
2024-01-22 11,170,3.086664,180,3.086664
2024-01-22 12,150,4.115552,170,4.629996
2024-01-22 13,160,5.14444,180,5.6588840000000005
2024-01-22 15,170,3.086664,200,4.629996
2024-01-22 16,160,5.6588840000000005,210,5.14444
2024-01-22 17,170,7.202216,210,5.14444
2024-01-22 18,180,7.71666,180,6.173328
2024-01-22 19,180,6.687772,200,5.14444
2024-01-22 20,190,6.173328,220,6.173328
2024-01-22 21,180,5.14444,210,4.115552
2024-01-22 22,170,6.173328,210,6.687772
2024-01-22 23,190,7.202216,200,5.6588840000000005
2024-01-23 00,190,7.202216,200,4.629996
2024-01-23 01,190,5.6588840000000005,220,5.14444
2024-01-23 02,200,3.601108,240,3.086664
2024-01-23 03,190,5.6588840000000005,200,2.057776
2024-01-23 04,220,4.629996,240,5.6588840000000005
2024-01-23 05,240,5.6588840000000005,250,6.687772
2024-01-23 06,190,2.057776,0,0
2024-01-23 07,200,3.086664,170,2.057776
2024-01-23 08,190,3.601108,190,1.543332
2024-01-23 09,180,3.086664,190,2.057776
2024-01-23 10,190,2.57222,170,1.543332
2024-01-23 11,170,2.057776,220,2.057776
2024-01-23 12,180,4.629996,200,2.57222
2024-01-23 13,150,4.115552,200,2.57222
2024-01-23 14,150,2.57222,170,2.57222
2024-01-23 15,150,4.629996,150,2.57222
2024-01-23 16,150,5.6588840000000005,160,5.14444
2024-01-23 17,150,4.629996,160,3.086664
2024-01-23 18,140,4.629996,160,4.115552
2024-01-23 19,140,3.086664,140,3.601108
2024-01-23 20,150,7.202216,150,4.629996
2024-01-23 21,160,9.259992,160,5.14444
2024-01-23 22,160,8.745548,180,5.6588840000000005
2024-01-23 23,150,7.71666,170,4.115552
2024-01-24 00,160,6.687772,180,4.115552
2024-01-24 01,160,6.173328,200,4.115552
2024-01-24 02,150,6.173328,190,4.115552
2024-01-24 03,160,5.6588840000000005,180,4.629996
2024-01-24 04,160,4.115552,190,3.601108
2024-01-24 05,150,4.115552,170,3.086664
2024-01-24 06,150,3.601108,190,3.086664
2024-01-24 07,150,4.629996,160,3.086664
2024-01-24 08,160,3.086664,170,3.601108
2024-01-24 09,150,2.57222,150,2.057776
2024-01-24 11,140,2.057776,170,2.57222
2024-01-24 12,150,1.543332,0,0
2024-01-24 13,140,2.057776,0,0
2024-01-24 15,0,0,150,2.57222
2024-01-24 16,150,6.173328,180,4.629996
2024-01-24 17,150,6.687772,180,4.115552
2024-01-24 18,150,6.173328,170,4.629996
2024-01-24 19,150,5.6588840000000005,160,4.629996
2024-01-24 20,160,5.6588840000000005,170,4.115552
2024-01-24 21,160,6.687772,170,4.115552
2024-01-24 22,170,6.173328,210,3.601108
2024-01-24 23,180,6.687772,210,4.629996
2024-01-25 00,190,5.6588840000000005,230,5.14444
2024-01-25 01,200,6.173328,220,4.115552
2024-01-25 02,200,5.14444,230,4.115552
2024-01-25 03,200,4.629996,230,3.601108
2024-01-25 04,200,3.601108,240,2.57222
2024-01-25 05,210,3.086664,220,2.057776
2024-01-25 06,210,2.57222,0,0
2024-01-25 07,50,1.543332,0,0
2024-01-25 08,0,0,160,1.543332
2024-01-25 09,30,2.057776,0,0
2024-01-25 10,50,1.543332,0,0
2024-01-25 11,0,0,0,0
2024-01-25 12,0,0,0,0
2024-01-25 13,0,0,0,0
2024-01-25 14,360,1.543332,0,0
2024-01-25 15,30,2.057776,0,0
2024-01-25 16,40,3.086664,0,0
2024-01-25 17,0,0,60,2.057776
2024-01-25 18,40,2.057776,60,2.057776
2024-01-25 19,340,1.543332,0,0
2024-01-25 20,0,0,0,0
2024-01-25 21,30,2.57222,60,2.57222
2024-01-25 22,30,2.57222,0,0
2024-01-25 23,50,1.543332,0,0
2024-01-26 00,50,4.629996,40,2.057776
2024-01-26 01,50,2.57222,80,1.543332
2024-01-26 02,0,0,90,2.57222
2024-01-26 03,40,4.115552,100,2.057776
2024-01-26 04,40,4.115552,90,2.57222
