hour_time,wd_CLE,ws_CLE,wd_BKL,ws_BKL
2024-01-16 09,230,3.086664,210,5.14444
2024-01-16 10,230,3.086664,210,6.173328
2024-01-16 11,240,3.601108,200,4.115552
2024-01-16 12,230,4.629996,220,5.14444
2024-01-16 13,230,4.629996,220,6.173328
2024-01-16 14,260,7.71666,230,8.231104
2024-01-16 15,240,7.71666,220,7.202216
2024-01-16 16,250,6.687772,240,7.202216
2024-01-16 17,260,6.173328,240,7.202216
2024-01-16 18,240,6.173328,220,7.71666
2024-01-16 19,230,8.231104,220,7.71666
2024-01-16 20,230,7.71666,220,7.202216
2024-01-16 21,240,6.687772,220,7.202216
2024-01-16 22,240,6.173328,220,6.687772
2024-01-16 23,220,5.14444,220,8.745548
2024-01-17 00,230,6.687772,210,7.71666
2024-01-17 01,230,6.173328,220,7.202216
2024-01-17 02,240,6.687772,220,6.173328
2024-01-17 03,240,6.173328,240,9.774436
2024-01-17 04,240,4.629996,230,8.231104
2024-01-17 05,240,6.173328,230,9.774436
2024-01-17 06,240,6.687772,230,10.28888
2024-01-17 07,230,6.173328,220,9.259992
2024-01-17 08,220,6.173328,220,7.71666
2024-01-17 09,220,6.173328,210,7.202216
2024-01-17 10,220,5.6588840000000005,220,6.173328
2024-01-17 11,210,4.115552,210,4.629996
2024-01-17 12,210,5.14444,200,5.6588840000000005
2024-01-17 13,210,6.173328,190,8.231104
2024-01-17 14,210,6.687772,200,7.71666
2024-01-17 15,220,6.687772,190,7.71666
2024-01-17 16,220,8.231104,200,8.231104
2024-01-17 17,230,8.745548,200,8.745548
2024-01-17 18,220,6.687772,210,6.687772
2024-01-17 19,220,7.202216,210,7.71666
2024-01-17 20,220,9.774436,210,10.28888
2024-01-17 21,220,7.202216,220,7.71666
2024-01-17 22,210,7.202216,210,5.14444
2024-01-17 23,210,5.14444,210,5.6588840000000005
2024-01-18 00,210,5.14444,190,6.173328
2024-01-18 01,200,4.115552,190,6.173328
2024-01-18 02,210,4.115552,190,5.6588840000000005
2024-01-18 03,210,4.115552,190,5.6588840000000005
2024-01-18 04,210,3.601108,200,5.14444
2024-01-18 05,200,3.601108,190,6.173328
2024-01-18 06,210,3.601108,210,6.687772
2024-01-18 07,240,9.259992,220,6.173328
2024-01-18 08,220,5.14444,220,6.173328
2024-01-18 09,200,2.57222,200,3.601108
2024-01-18 10,200,3.086664,190,5.6588840000000005
2024-01-18 11,200,3.601108,180,4.629996
2024-01-18 12,200,3.086664,170,5.6588840000000005
2024-01-18 13,200,5.14444,190,6.173328
2024-01-18 14,200,4.629996,200,5.6588840000000005
2024-01-18 15,210,5.14444,200,5.6588840000000005
2024-01-18 16,220,5.14444,200,5.6588840000000005
2024-01-18 17,230,3.601108,190,5.14444
2024-01-18 18,230,3.601108,220,3.601108
2024-01-18 19,240,3.086664,240,4.629996
2024-01-18 20,250,2.57222,260,4.115552
2024-01-18 21,240,4.115552,230,2.57222
2024-01-18 22,230,3.086664,220,3.601108
2024-01-18 23,220,2.057776,210,4.629996
2024-01-19 00,250,2.057776,220,3.601108
2024-01-19 01,0,0,210,3.086664
2024-01-19 02,0,0,200,2.57222
2024-01-19 03,190,1.543332,190,2.57222
2024-01-19 04,210,1.543332,170,3.086664
2024-01-19 05,0,0,0,0
2024-01-19 06,230,1.543332,200,1.543332
2024-01-19 07,210,2.057776,180,2.57222
2024-01-19 08,240,2.57222,170,2.57222
2024-01-19 09,250,2.57222,0,0
2024-01-19 10,40,2.057776,60,2.057776
2024-01-19 11,40,4.115552,60,5.14444
2024-01-19 12,30,2.057776,60,4.115552
2024-01-19 13,360,4.629996,360,6.173328
2024-01-19 14,330,5.14444,340,7.202216
2024-01-19 15,330,6.173328,330,8.745548
2024-01-19 16,320,6.173328,330,7.202216
2024-01-19 17,300,4.115552,350,6.173328
2024-01-19 18,280,6.173328,10,4.629996
2024-01-19 19,290,6.173328,360,9.259992
2024-01-19 20,360,7.71666,350,9.259992
2024-01-19 21,360,5.6588840000000005,350,7.71666
2024-01-19 22,340,6.173328,330,8.745548
2024-01-19 23,340,5.6588840000000005,340,9.259992
2024-01-20 00,320,5.6588840000000005,310,8.231104
2024-01-20 01,320,8.231104,310,8.745548
2024-01-20 02,320,6.173328,310,9.774436
2024-01-20 03,310,5.6588840000000005,310,10.28888
2024-01-20 04,290,4.115552,300,8.745548
2024-01-20 05,290,6.173328,310,8.745548
2024-01-20 06,300,5.14444,300,10.28888
2024-01-20 07,290,3.601108,290,9.259992
2024-01-20 08,290,4.115552,310,9.774436
2024-01-20 09,310,6.687772,290,10.803324
2024-01-20 10,280,3.601108,280,9.259992
2024-01-20 11,300,6.687772,280,7.71666
2024-01-20 12,280,5.14444,280,8.231104
2024-01-20 13,260,4.115552,270,9.259992
2024-01-20 14,270,6.687772,280,8.231104
2024-01-20 15,280,6.173328,280,10.28888
2024-01-20 16,270,6.687772,280,10.28888
2024-01-20 17,270,8.231104,270,12.346656
2024-01-20 18,270,8.745548,300,11.832212
2024-01-20 19,280,7.202216,280,10.28888
2024-01-20 20,300,8.745548,300,10.28888
2024-01-20 21,260,4.629996,280,10.803324
2024-01-20 22,250,5.14444,290,11.832212
2024-01-20 23,250,4.115552,290,10.28888
2024-01-21 00,310,5.6588840000000005,290,9.774436
2024-01-21 01,300,5.14444,310,8.745548
2024-01-21 02,300,4.115552,300,8.745548
2024-01-21 03,250,2.57222,300,8.745548
2024-01-21 04,250,4.115552,300,8.231104
2024-01-21 05,280,4.115552,300,8.231104
2024-01-21 06,310,7.71666,300,9.259992
2024-01-21 07,300,5.14444,300,8.231104
2024-01-21 08,310,3.601108,300,7.202216
2024-01-21 09,300,5.6588840000000005,310,7.202216
2024-01-21 10,310,4.629996,300,9.259992
2024-01-21 11,250,4.115552,290,8.231104
2024-01-21 12,250,4.115552,300,6.687772
2024-01-21 13,250,4.115552,270,6.173328
2024-01-21 14,240,3.086664,220,5.6588840000000005
2024-01-21 15,220,3.086664,220,4.629996
2024-01-21 16,240,2.057776,250,4.115552
2024-01-21 17,240,3.086664,260,5.14444
2024-01-21 18,250,5.14444,260,5.14444
2024-01-21 19,230,4.115552,250,4.629996
2024-01-21 20,240,4.115552,210,2.057776
2024-01-21 21,210,3.601108,210,4.115552
2024-01-21 22,210,3.086664,200,4.115552
2024-01-21 23,190,2.057776,190,3.086664
2024-01-22 00,200,3.086664,190,3.601108
2024-01-22 01,180,2.57222,180,3.086664
2024-01-22 02,180,2.57222,160,2.57222
2024-01-22 03,170,2.57222,160,2.57222
2024-01-22 04,160,3.601108,160,3.601108
2024-01-22 05,170,2.57222,160,3.601108
2024-01-22 06,180,2.57222,160,3.601108
2024-01-22 07,170,3.086664,160,3.086664
2024-01-22 09,200,4.629996,170,3.086664
2024-01-22 10,180,5.6588840000000005,170,3.086664
2024-01-22 11,200,4.629996,170,3.086664
2024-01-22 12,180,5.6588840000000005,150,4.115552
2024-01-22 13,190,5.6588840000000005,160,5.14444
2024-01-22 15,190,5.14444,170,3.086664
2024-01-22 16,200,6.687772,160,5.6588840000000005
2024-01-22 17,190,5.6588840000000005,170,7.202216
2024-01-22 18,200,7.202216,180,7.71666
2024-01-22 19,200,5.14444,180,6.687772
2024-01-22 20,200,6.173328,190,6.173328
2024-01-22 21,200,4.115552,180,5.14444
2024-01-22 22,190,5.14444,170,6.173328
2024-01-22 23,190,5.6588840000000005,190,7.202216
2024-01-23 00,190,4.629996,190,7.202216
2024-01-23 01,200,4.115552,190,5.6588840000000005
2024-01-23 02,210,3.601108,200,3.601108
2024-01-23 03,210,4.115552,190,5.6588840000000005
2024-01-23 04,0,0,220,4.629996
2024-01-23 05,200,2.057776,240,5.6588840000000005
2024-01-23 06,190,1.543332,190,2.057776
2024-01-23 07,190,2.057776,200,3.086664
2024-01-23 08,190,2.57222,190,3.601108
2024-01-23 09,170,3.086664,180,3.086664
2024-01-23 10,200,3.086664,190,2.57222
2024-01-23 11,180,3.086664,170,2.057776
2024-01-23 12,190,2.057776,180,4.629996
2024-01-23 13,170,3.086664,150,4.115552
2024-01-23 14,170,3.086664,150,2.57222
2024-01-23 15,150,4.115552,150,4.629996
2024-01-23 16,160,5.14444,150,5.6588840000000005
2024-01-23 17,160,4.629996,150,4.629996
2024-01-23 18,150,4.115552,140,4.629996
2024-01-23 19,150,4.115552,140,3.086664
2024-01-23 20,170,3.601108,150,7.202216
2024-01-23 21,160,4.115552,160,9.259992
2024-01-23 22,170,4.115552,160,8.745548
2024-01-23 23,190,5.14444,150,7.71666
2024-01-24 00,180,4.629996,160,6.687772
2024-01-24 01,190,3.601108,160,6.173328
2024-01-24 02,180,4.629996,150,6.173328
2024-01-24 03,190,4.115552,160,5.6588840000000005
2024-01-24 04,190,3.601108,160,4.115552
2024-01-24 05,180,2.57222,150,4.115552
2024-01-24 06,180,3.601108,150,3.601108
2024-01-24 07,190,2.57222,150,4.629996
2024-01-24 08,170,3.086664,160,3.086664
2024-01-24 09,130,1.543332,150,2.57222
2024-01-24 11,0,0,140,2.057776
2024-01-24 12,150,1.543332,150,1.543332
2024-01-24 13,130,2.057776,140,2.057776
2024-01-24 15,170,3.086664,0,0
2024-01-24 16,170,3.086664,150,6.173328
2024-01-24 17,180,3.086664,150,6.687772
2024-01-24 18,170,3.601108,150,6.173328
2024-01-24 19,160,3.601108,150,5.6588840000000005
2024-01-24 20,150,3.086664,160,5.6588840000000005
2024-01-24 21,180,3.601108,160,6.687772
2024-01-24 22,190,5.14444,170,6.173328
2024-01-24 23,200,5.14444,180,6.687772
2024-01-25 00,200,4.115552,190,5.6588840000000005
2024-01-25 01,210,4.115552,200,6.173328
2024-01-25 02,210,3.086664,200,5.14444
2024-01-25 03,200,2.57222,200,4.629996
2024-01-25 04,0,0,200,3.601108
2024-01-25 05,200,2.57222,210,3.086664
2024-01-25 06,0,0,210,2.57222
2024-01-25 07,0,0,50,1.543332
